Author,Comment,Likes,Published,Comment_Length,Word_Count,Tokens
@teluguhla-hn5ft,after crowned huge followers worthful working study full pledged seated car by child mack goods trapped child with sharp dosatool and kicked under earth surface by super modda then see result before morning after night middle of noon end after evening,1,2023-03-27 06:05:49+00:00,251,41,"['after', 'crowned', 'huge', 'followers', 'worthful', 'working', 'study', 'full', 'pledged', 'seated', 'car', 'by', 'child', 'mack', 'goods', 'trapped', 'child', 'with', 'sharp', 'dosatool', 'and', 'kicked', 'under', 'earth', 'surface', 'by', 'super', 'modda', 'then', 'see', 'result', 'before', 'morning', 'after', 'night', 'middle', 'of', 'noon', 'end', 'after', 'evening']"
@teluguhla-hn5ft,just see after night before morning just evening middle of noon after made seated hold that liked child hold hair precious dragged me from balconies kicked by super modda under earth surface then see result after noon before morning end of evening middle of noon,0,2023-03-27 06:02:33+00:00,262,45,"['just', 'see', 'after', 'night', 'before', 'morning', 'just', 'evening', 'middle', 'of', 'noon', 'after', 'made', 'seated', 'hold', 'that', 'liked', 'child', 'hold', 'hair', 'precious', 'dragged', 'me', 'from', 'balconies', 'kicked', 'by', 'super', 'modda', 'under', 'earth', 'surface', 'then', 'see', 'result', 'after', 'noon', 'before', 'morning', 'end', 'of', 'evening', 'middle', 'of', 'noon']"
@teluguhla-hn5ft,ela chese chooodu seated in car mack up hair mack up precious hair mack dragged my hair from upstairs just after night or before morning or middle of noon end of after noon made ground study less kd seated hair mack up precious mack up goods and dragged kicked me under earth surface and see result before morning g after night end of evening middle of noon,0,2023-03-27 05:48:59+00:00,357,67,"['ela', 'chese', 'chooodu', 'seated', 'in', 'car', 'mack', 'up', 'hair', 'mack', 'up', 'precious', 'hair', 'mack', 'dragged', 'my', 'hair', 'from', 'upstairs', 'just', 'after', 'night', 'or', 'before', 'morning', 'or', 'middle', 'of', 'noon', 'end', 'of', 'after', 'noon', 'made', 'ground', 'study', 'less', 'kd', 'seated', 'hair', 'mack', 'up', 'precious', 'mack', 'up', 'goods', 'and', 'dragged', 'kicked', 'me', 'under', 'earth', 'surface', 'and', 'see', 'result', 'before', 'morning', 'g', 'after', 'night', 'end', 'of', 'evening', 'middle', 'of', 'noon']"
@friendsforeversrirajfriend7351,appatlone slides model cheppulu unnai ippudu avi trend,2,2023-03-21 19:47:04+00:00,60,9,"['appatlone', 'slides', 'model', 'cheppulu', 'unnai', 'ippudu', 'avi', 'trend']"
@kitturoyal4329,super movie,3,2023-02-10 14:23:45+00:00,11,2,"['super', 'movie']"
@ramumegastar,navvi navvi sachipotham,0,2023-01-29 15:55:56+00:00,23,3,"['navvi', 'navvi', 'sachipotham']"
@PSuresh-j5e,what balcony sea view,0,2023-01-27 15:23:41+00:00,21,4,"['what', 'balcony', 'sea', 'view']"
@mahendargujjunuri8401,,2,2023-01-15 01:32:32+00:00,11,1,[]
@hanumanthahanu6333,om namo venkateshaa,8,2023-01-06 04:27:18+00:00,34,4,"['om', 'namo', 'venkateshaa']"
@srivastav200,2828 all time favourite dialogue,71,2023-01-04 07:49:15+00:00,34,5,"['2828', 'all', 'time', 'favourite', 'dialogue']"
